CÓDIGO,NOME,IMAGEM,CNPJ,SETOR ECONÔMICO,SUBSETOR,SEGMENTO / ADM / PAÍS,TIPO,SEGMENTO
AZUL4,Azul SA,https://bastter.com/mercado/images/acao/AZUL.gif,09.305.994/0001-29,Bens Industriais,Transporte,Transporte Aéreo,Ação,N2
GOLL4,Gol Linhas Aereas Inteligentes SA,https://bastter.com/mercado/images/acao/GOLL.gif,06.164.253/0001-87,Bens Industriais,Transporte,Transporte Aéreo,Ação,N2
FRRN3B,ALL NORTE ON MB,https://bastter.com/mercado/images/acao/FRRN.gif,24.962.466/0001-36,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
FRRN5B,ALL NORTE ON MB,https://bastter.com/mercado/images/acao/FRRN.gif,24.962.466/0001-36,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
FRRN6B,ALL NORTE ON MB,https://bastter.com/mercado/images/acao/FRRN.gif,24.962.466/0001-36,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
RLOG3,Cosan Logistica SA,https://bastter.com/mercado/images/acao/RLOG.gif,17.346.997/0001-39,Bens Industriais,Transporte,Transporte Ferroviário,Ação,NM
VSPT3,Ferrovia Centro-Atlantica SA,https://bastter.com/mercado/images/acao/VSPT.gif,00.924.429/0001-75,Bens Industriais,Transporte,Transporte Ferroviário,Ação,
VSPT4,Ferrovia Centro-Atlantica SA Preference Shares,https://bastter.com/mercado/images/acao/VSPT.gif,00.924.429/0001-75,Bens Industriais,Transporte,Transporte Ferroviário,Ação,
MRSA3B,MRS Logistica SA,https://bastter.com/mercado/images/acao/MRSA.gif,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
MRSA5B,MRS Logística,https://bastter.com/mercado/images/acao/MRSA.gif,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
MRSA6B,MRS Logística,https://bastter.com/mercado/images/acao/MRSA.gif,01.417.222/0001-77,Bens Industriais,Transporte,Transporte Ferroviário,Ação,MB
RAIL3,Rumo SA,https://bastter.com/mercado/images/acao/RAIL.gif,02.387.241/0001-60,Bens Industriais,Transporte,Transporte Ferroviário,Ação,NM
LOGN3,Log-in Logistica Intermodal SA,https://bastter.com/mercado/images/acao/LOGN.gif,42.278.291/0001-24,Bens Industriais,Transporte,Transporte Hidroviário,Ação,NM
LUXM3,Trevisa Investimentos SA,https://bastter.com/mercado/images/acao/LUXM.gif,92.660.570/0001-26,Bens Industriais,Transporte,Transporte Hidroviário,Ação,
LUXM4,Trevisa Investimentos SA Preference Shares,https://bastter.com/mercado/images/acao/LUXM.gif,92.660.570/0001-26,Bens Industriais,Transporte,Transporte Hidroviário,Ação,
JSLG3,JSL SA,https://bastter.com/mercado/images/acao/JSLG.gif,52.548.435/0001-79,Bens Industriais,Transporte,Transporte Rodoviário,Ação,NM
TGMA3,Tegma Gestao Logistica SA,https://bastter.com/mercado/images/acao/TGMA.gif,02.351.144/0001-18,Bens Industriais,Transporte,Transporte Rodoviário,Ação,NM
CCRO3,CCR SA,https://bastter.com/mercado/images/acao/CCRO.gif,02.846.056/0001-97,Bens Industriais,Transporte,Exploração de Rodovias,Ação,NM
CRTE3B,CONC RIO TERON MB,https://bastter.com/mercado/images/acao/CRTE.gif,00.938.574/0001-05,Bens Industriais,Transporte,Exploração de Rodovias,Ação,MB
CRTE5B,CONC RIO TERON MB,https://bastter.com/mercado/images/acao/CRTE.gif,00.938.574/0001-05,Bens Industriais,Transporte,Exploração de Rodovias,Ação,MB
ECOR3,Ecorodovias Infraestrutura e Logistic SA,https://bastter.com/mercado/images/acao/ECOR.gif,04.149.454/0001-80,Bens Industriais,Transporte,Exploração de Rodovias,Ação,NM
TPIS3,TPI Triunfo Participacoes e Invest. SA,https://bastter.com/mercado/images/acao/TPIS.gif,03.014.553/0001-91,Bens Industriais,Transporte,Exploração de Rodovias,Ação,NM
IVPR3B,Investimentos e Prtcpcos Infrstr INVEPAR,https://bastter.com/mercado/images/acao/IVPR.gif,03.758.318/0001-24,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Ação,MB
IVPR4B,Investimentos e Prtcpcos Infrstr INVEPAR Preference Shares,https://bastter.com/mercado/images/acao/IVPR.gif,03.758.318/0001-24,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Ação,MB
STBP3,Santos Brasil Participacoes SA,https://bastter.com/mercado/images/acao/STBP.gif,02.762.121/0001-04,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Ação,N2
WSON33,Wilson Sons Ltd,https://bastter.com/mercado/images/acao/WSON.gif,05.721.735/0001-28,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Ação,DR3
BBML3,BBM Logistica SA,https://bastter.com/mercado/images/acao/BBML.gif,01.107.327/0001-20,Bens Industriais,Serviços Diversos,Serviços Diversos,Ação,MA
CSUD3,CSU DIGITAL,https://bastter.com/mercado/images/acao/CARD.gif,01.896.779/0001-38,Bens Industriais,Serviços Diversos,Serviços Diversos,Ação,NM
FLEX3,Flex Gestao de Relacionamentos SA,https://bastter.com/mercado/images/acao/FLEX.gif,10.851.805/0001-00,Bens Industriais,Serviços Diversos,Serviços Diversos,Ação,MA
PRNR3,Priner Servicos Industriais SA,https://bastter.com/mercado/images/acao/PRNR.gif,18.593.815/0001-97,Bens Industriais,Serviços Diversos,Serviços Diversos,Ação,MA
VLID3,Valid Solucoes SA,https://bastter.com/mercado/images/acao/VLID.gif,33.113.309/0001-47,Bens Industriais,Serviços Diversos,Serviços Diversos,Ação,NM
BTTL3,Battistella Administracao E Prtcpcs SA,https://bastter.com/mercado/images/acao/BTTL.gif,42.331.462/0001-31,Bens Industriais,Comércio,Material de Transporte,Ação,
